filename,sub,session,intensity,modality,stim
sub-12_ses-2_task-60bi_acq-4.fif,12,2,60,bi,track46.wav+track47.wav+track48.wav+track49.wav+track50.wav;track51.wav+track52.wav+track53.wav+track54.wav+track55.wav;track56.wav+track57.wav+track58.wav+track59.wav+track60.wav
sub-12_ses-2_task-60mo_acq-3.fif,12,2,60,mo,track31.wav+track32.wav+track33.wav+track34.wav+track35.wav;track36.wav+track37.wav+track38.wav+track39.wav+track40.wav;track41.wav+track42.wav+track43.wav+track44.wav+track45.wav
sub-13_ses-2_task-60bi_acq-1.fif,13,2,60,bi,track1.wav+track2.wav+track3.wav+track4.wav+track5.wav;track6.wav+track7.wav+track8.wav+track9.wav+track10.wav;track11.wav+track12.wav+track13.wav+track14.wav+track15.wav
sub-13_ses-2_task-60mo_acq-2.fif,13,2,60,mo,track16.wav+track17.wav+track18.wav+track19.wav+track20.wav;track21.wav+track22.wav+track23.wav+track24.wav+track25.wav;track26.wav+track27.wav+track28.wav+track29.wav+track30.wav
sub-14_ses-2_task-60bi_acq-3.fif,14,2,60,bi,track31.wav+track32.wav+track33.wav+track34.wav+track35.wav;track36.wav+track37.wav+track38.wav+track39.wav+track40.wav;track41.wav+track42.wav+track43.wav+track44.wav+track45.wav
sub-14_ses-2_task-60mo_acq-4.fif,14,2,60,mo,track46.wav+track47.wav+track48.wav+track49.wav+track50.wav;track51.wav+track52.wav+track53.wav+track54.wav+track55.wav;track56.wav+track57.wav+track58.wav+track59.wav+track60.wav
sub-15_ses-2_task-60bi_acq-1.fif,15,2,60,bi,track1.wav+track2.wav+track3.wav+track4.wav+track5.wav;track6.wav+track7.wav+track8.wav+track9.wav+track10.wav;track11.wav+track12.wav+track13.wav+track14.wav+track15.wav
sub-15_ses-2_task-60mo_acq-2.fif,15,2,60,mo,track16.wav+track17.wav+track18.wav+track19.wav+track20.wav;track21.wav+track22.wav+track23.wav+track24.wav+track25.wav;track26.wav+track27.wav+track28.wav+track29.wav+track30.wav
sub-16_ses-2_task-60bi_acq-4.fif,16,2,60,bi,track46.wav+track47.wav+track48.wav+track49.wav+track50.wav;track51.wav+track52.wav+track53.wav+track54.wav+track55.wav;track56.wav+track57.wav+track58.wav+track59.wav+track60.wav
sub-16_ses-2_task-60mo_acq-3.fif,16,2,60,mo,track31.wav+track32.wav+track33.wav+track34.wav+track35.wav;track36.wav+track37.wav+track38.wav+track39.wav+track40.wav;track41.wav+track42.wav+track43.wav+track44.wav+track45.wav
sub-17_ses-2_task-60bi_acq-2.fif,17,2,60,bi,track16.wav+track17.wav+track18.wav+track19.wav+track20.wav;track21.wav+track22.wav+track23.wav+track24.wav+track25.wav;track26.wav+track27.wav+track28.wav+track29.wav+track30.wav
sub-17_ses-2_task-60mo_acq-1.fif,17,2,60,mo,track1.wav+track2.wav+track3.wav+track4.wav+track5.wav;track6.wav+track7.wav+track8.wav+track9.wav+track10.wav;track11.wav+track12.wav+track13.wav+track14.wav+track15.wav
sub-18_ses-2_task-60bi_acq-3.fif,18,2,60,bi,track31.wav+track32.wav+track33.wav+track34.wav+track35.wav;track36.wav+track37.wav+track38.wav+track39.wav+track40.wav;track41.wav+track42.wav+track43.wav+track44.wav+track45.wav
sub-18_ses-2_task-60mo_acq-4.fif,18,2,60,mo,track46.wav+track47.wav+track48.wav+track49.wav+track50.wav;track51.wav+track52.wav+track53.wav+track54.wav+track55.wav;track56.wav+track57.wav+track58.wav+track59.wav+track60.wav
sub-20_ses-2_task-60bi_acq-4.fif,20,2,60,bi,track46.wav+track47.wav+track48.wav+track49.wav+track50.wav;track51.wav+track52.wav+track53.wav+track54.wav+track55.wav;track56.wav+track57.wav+track58.wav+track59.wav+track60.wav
sub-20_ses-2_task-60mo_acq-3.fif,20,2,60,mo,track31.wav+track32.wav+track33.wav+track34.wav+track35.wav;track36.wav+track37.wav+track38.wav+track39.wav+track40.wav;track41.wav+track42.wav+track43.wav+track44.wav+track45.wav
sub-21_ses-2_task-60bi_acq-2.fif,21,2,60,bi,track16.wav+track17.wav+track18.wav+track19.wav+track20.wav;track21.wav+track22.wav+track23.wav+track24.wav+track25.wav;track26.wav+track27.wav+track28.wav+track29.wav+track30.wav
sub-21_ses-2_task-60mo_acq-1.fif,21,2,60,mo,track1.wav+track2.wav+track3.wav+track4.wav+track5.wav;track6.wav+track7.wav+track8.wav+track9.wav+track10.wav;track11.wav+track12.wav+track13.wav+track14.wav+track15.wav
sub-22_ses-2_task-60bi_acq-3.fif,22,2,60,bi,track31.wav+track32.wav+track33.wav+track34.wav+track35.wav;track36.wav+track37.wav+track38.wav+track39.wav+track40.wav;track41.wav+track42.wav+track43.wav+track44.wav+track45.wav
sub-22_ses-2_task-60mo_acq-4.fif,22,2,60,mo,track46.wav+track47.wav+track48.wav+track49.wav+track50.wav;track51.wav+track52.wav+track53.wav+track54.wav+track55.wav;track56.wav+track57.wav+track58.wav+track59.wav+track60.wav
